,0
"(Timestamp('2019-01-01 09:00:00+0000', tz='UTC'), 'H3')",0.0
"(Timestamp('2019-01-01 09:00:00+0000', tz='UTC'), 'H4')",0.0
"(Timestamp('2019-01-01 09:30:00+0000', tz='UTC'), 'H1')",0.122
"(Timestamp('2019-01-01 09:30:00+0000', tz='UTC'), 'H2')",0.145
"(Timestamp('2019-01-01 09:30:00+0000', tz='UTC'), 'H3')",0.567
"(Timestamp('2019-01-01 09:30:00+0000', tz='UTC'), 'H4')",0.103
"(Timestamp('2019-01-01 10:00:00+0000', tz='UTC'), 'H1')",0.0759999999999999
"(Timestamp('2019-01-01 10:00:00+0000', tz='UTC'), 'H2')",0.13
"(Timestamp('2019-01-01 10:00:00+0000', tz='UTC'), 'H3')",0.43
"(Timestamp('2019-01-01 10:00:00+0000', tz='UTC'), 'H4')",0.144
"(Timestamp('2019-01-01 10:30:00+0000', tz='UTC'), 'H1')",0.124
"(Timestamp('2019-01-01 10:30:00+0000', tz='UTC'), 'H2')",0.122
"(Timestamp('2019-01-01 10:30:00+0000', tz='UTC'), 'H3')",0.78
"(Timestamp('2019-01-01 10:30:00+0000', tz='UTC'), 'H4')",0.194
"(Timestamp('2019-01-01 11:00:00+0000', tz='UTC'), 'H1')",0.122
"(Timestamp('2019-01-01 11:00:00+0000', tz='UTC'), 'H2')",0.143
"(Timestamp('2019-01-01 11:00:00+0000', tz='UTC'), 'H3')",1.041
"(Timestamp('2019-01-01 11:00:00+0000', tz='UTC'), 'H4')",0.491
"(Timestamp('2019-01-01 11:30:00+0000', tz='UTC'), 'H1')",0.12
"(Timestamp('2019-01-01 11:30:00+0000', tz='UTC'), 'H2')",0.122
"(Timestamp('2019-01-01 11:30:00+0000', tz='UTC'), 'H3')",0.468
"(Timestamp('2019-01-01 11:30:00+0000', tz='UTC'), 'H4')",0.328
"(Timestamp('2019-01-01 12:00:00+0000', tz='UTC'), 'H1')",0.794
"(Timestamp('2019-01-01 12:00:00+0000', tz='UTC'), 'H2')",0.129
"(Timestamp('2019-01-01 12:00:00+0000', tz='UTC'), 'H3')",0.0
"(Timestamp('2019-01-01 12:00:00+0000', tz='UTC'), 'H4')",0.291
"(Timestamp('2019-01-01 12:30:00+0000', tz='UTC'), 'H1')",0.358350055267605
"(Timestamp('2019-01-01 12:30:00+0000', tz='UTC'), 'H2')",0.0
"(Timestamp('2019-01-01 12:30:00+0000', tz='UTC'), 'H3')",0.463457340686514
"(Timestamp('2019-01-01 12:30:00+0000', tz='UTC'), 'H4')",0.153007451067267
"(Timestamp('2019-01-01 13:00:00+0000', tz='UTC'), 'H1')",0.0
"(Timestamp('2019-01-01 13:00:00+0000', tz='UTC'), 'H2')",0.0
"(Timestamp('2019-01-01 13:00:00+0000', tz='UTC'), 'H3')",0.0
"(Timestamp('2019-01-01 13:00:00+0000', tz='UTC'), 'H4')",0.0
"(Timestamp('2019-01-01 13:30:00+0000', tz='UTC'), 'H1')",0.0
"(Timestamp('2019-01-01 13:30:00+0000', tz='UTC'), 'H2')",0.0
"(Timestamp('2019-01-01 13:30:00+0000', tz='UTC'), 'H3')",0.0
"(Timestamp('2019-01-01 13:30:00+0000', tz='UTC'), 'H4')",0.0
"(Timestamp('2019-01-01 14:00:00+0000', tz='UTC'), 'H1')",0.0
"(Timestamp('2019-01-01 14:00:00+0000', tz='UTC'), 'H2')",0.0
"(Timestamp('2019-01-01 14:00:00+0000', tz='UTC'), 'H3')",0.0
"(Timestamp('2019-01-01 14:00:00+0000', tz='UTC'), 'H4')",0.0
"(Timestamp('2019-01-01 14:30:00+0000', tz='UTC'), 'H1')",0.0
"(Timestamp('2019-01-01 14:30:00+0000', tz='UTC'), 'H2')",0.0
"(Timestamp('2019-01-01 14:30:00+0000', tz='UTC'), 'H3')",0.0
"(Timestamp('2019-01-01 14:30:00+0000', tz='UTC'), 'H4')",0.0
"(Timestamp('2019-01-01 15:00:00+0000', tz='UTC'), 'H1')",0.549812741507192
"(Timestamp('2019-01-01 15:00:00+0000', tz='UTC'), 'H2')",0.0
"(Timestamp('2019-01-01 15:00:00+0000', tz='UTC'), 'H3')",1.20133333333333
"(Timestamp('2019-01-01 15:00:00+0000', tz='UTC'), 'H4')",0.615874973152645
"(Timestamp('2019-01-01 15:30:00+0000', tz='UTC'), 'H1')",2.39791581027541
"(Timestamp('2019-01-01 15:30:00+0000', tz='UTC'), 'H2')",0.0
"(Timestamp('2019-01-01 15:30:00+0000', tz='UTC'), 'H3')",2.966
"(Timestamp('2019-01-01 15:30:00+0000', tz='UTC'), 'H4')",0.30583820869448
"(Timestamp('2019-01-01 16:00:00+0000', tz='UTC'), 'H1')",0.0
"(Timestamp('2019-01-01 16:00:00+0000', tz='UTC'), 'H2')",0.114
"(Timestamp('2019-01-01 16:00:00+0000', tz='UTC'), 'H3')",0.454
"(Timestamp('2019-01-01 16:00:00+0000', tz='UTC'), 'H4')",0.911
"(Timestamp('2019-01-01 16:30:00+0000', tz='UTC'), 'H1')",0.0
"(Timestamp('2019-01-01 16:30:00+0000', tz='UTC'), 'H2')",0.0
"(Timestamp('2019-01-01 16:30:00+0000', tz='UTC'), 'H3')",0.641202142397522
"(Timestamp('2019-01-01 16:30:00+0000', tz='UTC'), 'H4')",0.0
"(Timestamp('2019-01-01 17:00:00+0000', tz='UTC'), 'H1')",0.0
"(Timestamp('2019-01-01 17:00:00+0000', tz='UTC'), 'H2')",0.0
"(Timestamp('2019-01-01 17:00:00+0000', tz='UTC'), 'H3')",0.0
