Time,Household,Peer,X_p
2019-01-01 03:00:00+00:00,H2,H4,0.0
2019-01-01 03:00:00+00:00,H3,H1,0.0
2019-01-01 03:00:00+00:00,H3,H2,0.0
2019-01-01 03:00:00+00:00,H3,H3,0.0
2019-01-01 03:00:00+00:00,H3,H4,0.0
2019-01-01 03:00:00+00:00,H4,H1,0.0
2019-01-01 03:00:00+00:00,H4,H2,0.0
2019-01-01 03:00:00+00:00,H4,H3,0.0
2019-01-01 03:00:00+00:00,H4,H4,0.0
2019-01-01 03:30:00+00:00,H1,H1,0.0
2019-01-01 03:30:00+00:00,H1,H2,0.0
2019-01-01 03:30:00+00:00,H1,H3,0.0
2019-01-01 03:30:00+00:00,H1,H4,0.0
2019-01-01 03:30:00+00:00,H2,H1,0.0
2019-01-01 03:30:00+00:00,H2,H2,0.0
2019-01-01 03:30:00+00:00,H2,H3,0.0
2019-01-01 03:30:00+00:00,H2,H4,0.0
2019-01-01 03:30:00+00:00,H3,H1,0.0
2019-01-01 03:30:00+00:00,H3,H2,0.0
2019-01-01 03:30:00+00:00,H3,H3,0.0
2019-01-01 03:30:00+00:00,H3,H4,0.0
2019-01-01 03:30:00+00:00,H4,H1,0.0
2019-01-01 03:30:00+00:00,H4,H2,0.0
2019-01-01 03:30:00+00:00,H4,H3,0.0
2019-01-01 03:30:00+00:00,H4,H4,0.0
2019-01-01 04:00:00+00:00,H1,H1,0.0
2019-01-01 04:00:00+00:00,H1,H2,0.0
2019-01-01 04:00:00+00:00,H1,H3,0.0
2019-01-01 04:00:00+00:00,H1,H4,0.0
2019-01-01 04:00:00+00:00,H2,H1,0.0
2019-01-01 04:00:00+00:00,H2,H2,0.0
2019-01-01 04:00:00+00:00,H2,H3,0.0
2019-01-01 04:00:00+00:00,H2,H4,0.0
2019-01-01 04:00:00+00:00,H3,H1,0.0
2019-01-01 04:00:00+00:00,H3,H2,0.0
2019-01-01 04:00:00+00:00,H3,H3,0.0
2019-01-01 04:00:00+00:00,H3,H4,0.0
2019-01-01 04:00:00+00:00,H4,H1,0.0
2019-01-01 04:00:00+00:00,H4,H2,0.0
2019-01-01 04:00:00+00:00,H4,H3,0.0
2019-01-01 04:00:00+00:00,H4,H4,0.0
2019-01-01 04:30:00+00:00,H1,H1,0.0
2019-01-01 04:30:00+00:00,H1,H2,0.0
2019-01-01 04:30:00+00:00,H1,H3,0.0
2019-01-01 04:30:00+00:00,H1,H4,0.0
2019-01-01 04:30:00+00:00,H2,H1,0.0
2019-01-01 04:30:00+00:00,H2,H2,0.0
2019-01-01 04:30:00+00:00,H2,H3,0.0
2019-01-01 04:30:00+00:00,H2,H4,0.0
2019-01-01 04:30:00+00:00,H3,H1,0.0
2019-01-01 04:30:00+00:00,H3,H2,0.0
2019-01-01 04:30:00+00:00,H3,H3,0.0
2019-01-01 04:30:00+00:00,H3,H4,0.0
2019-01-01 04:30:00+00:00,H4,H1,0.0
2019-01-01 04:30:00+00:00,H4,H2,0.0
2019-01-01 04:30:00+00:00,H4,H3,0.0
2019-01-01 04:30:00+00:00,H4,H4,0.0
2019-01-01 05:00:00+00:00,H1,H1,0.0
2019-01-01 05:00:00+00:00,H1,H2,0.0
2019-01-01 05:00:00+00:00,H1,H3,0.0
2019-01-01 05:00:00+00:00,H1,H4,0.0
2019-01-01 05:00:00+00:00,H2,H1,0.0
2019-01-01 05:00:00+00:00,H2,H2,0.0
2019-01-01 05:00:00+00:00,H2,H3,0.0
2019-01-01 05:00:00+00:00,H2,H4,0.0
2019-01-01 05:00:00+00:00,H3,H1,0.0
2019-01-01 05:00:00+00:00,H3,H2,0.0
2019-01-01 05:00:00+00:00,H3,H3,0.0
2019-01-01 05:00:00+00:00,H3,H4,0.0
2019-01-01 05:00:00+00:00,H4,H1,0.0
2019-01-01 05:00:00+00:00,H4,H2,0.0
2019-01-01 05:00:00+00:00,H4,H3,0.0
2019-01-01 05:00:00+00:00,H4,H4,0.0
2019-01-01 05:30:00+00:00,H1,H1,0.0
2019-01-01 05:30:00+00:00,H1,H2,0.0
2019-01-01 05:30:00+00:00,H1,H3,0.0
2019-01-01 05:30:00+00:00,H1,H4,0.0
2019-01-01 05:30:00+00:00,H2,H1,0.0
2019-01-01 05:30:00+00:00,H2,H2,0.0
2019-01-01 05:30:00+00:00,H2,H3,0.0
2019-01-01 05:30:00+00:00,H2,H4,0.0
2019-01-01 05:30:00+00:00,H3,H1,0.0
2019-01-01 05:30:00+00:00,H3,H2,0.0
2019-01-01 05:30:00+00:00,H3,H3,0.0
2019-01-01 05:30:00+00:00,H3,H4,0.0
2019-01-01 05:30:00+00:00,H4,H1,0.0
2019-01-01 05:30:00+00:00,H4,H2,0.0
2019-01-01 05:30:00+00:00,H4,H3,0.0
2019-01-01 05:30:00+00:00,H4,H4,0.0
2019-01-01 06:00:00+00:00,H1,H1,0.0
2019-01-01 06:00:00+00:00,H1,H2,0.0
2019-01-01 06:00:00+00:00,H1,H3,0.0
2019-01-01 06:00:00+00:00,H1,H4,0.0
2019-01-01 06:00:00+00:00,H2,H1,0.0
2019-01-01 06:00:00+00:00,H2,H2,0.0
2019-01-01 06:00:00+00:00,H2,H3,0.0
2019-01-01 06:00:00+00:00,H2,H4,0.0
2019-01-01 06:00:00+00:00,H3,H1,0.0
2019-01-01 06:00:00+00:00,H3,H2,0.0
2019-01-01 06:00:00+00:00,H3,H3,0.0
2019-01-01 06:00:00+00:00,H3,H4,0.0
2019-01-01 06:00:00+00:00,H4,H1,0.0
2019-01-01 06:00:00+00:00,H4,H2,0.0
2019-01-01 06:00:00+00:00,H4,H3,0.0
2019-01-01 06:00:00+00:00,H4,H4,0.0
2019-01-01 06:30:00+00:00,H1,H1,0.0
2019-01-01 06:30:00+00:00,H1,H2,0.0
2019-01-01 06:30:00+00:00,H1,H3,0.0
2019-01-01 06:30:00+00:00,H1,H4,0.0
2019-01-01 06:30:00+00:00,H2,H1,0.0
2019-01-01 06:30:00+00:00,H2,H2,0.0
2019-01-01 06:30:00+00:00,H2,H3,0.0
2019-01-01 06:30:00+00:00,H2,H4,0.0
2019-01-01 06:30:00+00:00,H3,H1,0.0
2019-01-01 06:30:00+00:00,H3,H2,0.0
2019-01-01 06:30:00+00:00,H3,H3,0.0
2019-01-01 06:30:00+00:00,H3,H4,0.0
2019-01-01 06:30:00+00:00,H4,H1,0.0
2019-01-01 06:30:00+00:00,H4,H2,0.0
2019-01-01 06:30:00+00:00,H4,H3,0.0
2019-01-01 06:30:00+00:00,H4,H4,0.0
2019-01-01 07:00:00+00:00,H1,H1,0.0
2019-01-01 07:00:00+00:00,H1,H2,0.0
2019-01-01 07:00:00+00:00,H1,H3,0.0
2019-01-01 07:00:00+00:00,H1,H4,0.0
2019-01-01 07:00:00+00:00,H2,H1,0.0
2019-01-01 07:00:00+00:00,H2,H2,0.0
2019-01-01 07:00:00+00:00,H2,H3,0.0
2019-01-01 07:00:00+00:00,H2,H4,0.0
2019-01-01 07:00:00+00:00,H3,H1,0.0
2019-01-01 07:00:00+00:00,H3,H2,0.0
2019-01-01 07:00:00+00:00,H3,H3,0.0
2019-01-01 07:00:00+00:00,H3,H4,0.0
2019-01-01 07:00:00+00:00,H4,H1,0.0
2019-01-01 07:00:00+00:00,H4,H2,0.0
2019-01-01 07:00:00+00:00,H4,H3,0.0
2019-01-01 07:00:00+00:00,H4,H4,0.0
2019-01-01 07:30:00+00:00,H1,H1,0.0
2019-01-01 07:30:00+00:00,H1,H2,0.0
2019-01-01 07:30:00+00:00,H1,H3,0.0
2019-01-01 07:30:00+00:00,H1,H4,0.0
2019-01-01 07:30:00+00:00,H2,H1,0.0
2019-01-01 07:30:00+00:00,H2,H2,0.0
2019-01-01 07:30:00+00:00,H2,H3,0.0
2019-01-01 07:30:00+00:00,H2,H4,0.0
2019-01-01 07:30:00+00:00,H3,H1,0.0
2019-01-01 07:30:00+00:00,H3,H2,0.0
2019-01-01 07:30:00+00:00,H3,H3,0.0
2019-01-01 07:30:00+00:00,H3,H4,0.0
2019-01-01 07:30:00+00:00,H4,H1,0.0
2019-01-01 07:30:00+00:00,H4,H2,0.0
2019-01-01 07:30:00+00:00,H4,H3,0.0
2019-01-01 07:30:00+00:00,H4,H4,0.0
2019-01-01 08:00:00+00:00,H1,H1,0.0
2019-01-01 08:00:00+00:00,H1,H2,0.0
2019-01-01 08:00:00+00:00,H1,H3,0.0
2019-01-01 08:00:00+00:00,H1,H4,0.116685805526036
2019-01-01 08:00:00+00:00,H2,H1,0.0
2019-01-01 08:00:00+00:00,H2,H2,0.0
2019-01-01 08:00:00+00:00,H2,H3,0.0
2019-01-01 08:00:00+00:00,H2,H4,0.0
2019-01-01 08:00:00+00:00,H3,H1,0.0
2019-01-01 08:00:00+00:00,H3,H2,0.0
2019-01-01 08:00:00+00:00,H3,H3,0.0
2019-01-01 08:00:00+00:00,H3,H4,0.0
2019-01-01 08:00:00+00:00,H4,H1,0.0
2019-01-01 08:00:00+00:00,H4,H2,0.0
2019-01-01 08:00:00+00:00,H4,H3,0.0
2019-01-01 08:00:00+00:00,H4,H4,0.0
2019-01-01 08:30:00+00:00,H1,H1,0.0
2019-01-01 08:30:00+00:00,H1,H2,0.0
2019-01-01 08:30:00+00:00,H1,H3,0.202293398020962
2019-01-01 08:30:00+00:00,H1,H4,0.000260227396445212
2019-01-01 08:30:00+00:00,H2,H1,0.0
2019-01-01 08:30:00+00:00,H2,H2,0.0
2019-01-01 08:30:00+00:00,H2,H3,0.0
2019-01-01 08:30:00+00:00,H2,H4,0.102553625417408
2019-01-01 08:30:00+00:00,H3,H1,0.0
2019-01-01 08:30:00+00:00,H3,H2,0.0
2019-01-01 08:30:00+00:00,H3,H3,0.0
2019-01-01 08:30:00+00:00,H3,H4,0.0
2019-01-01 08:30:00+00:00,H4,H1,0.0
2019-01-01 08:30:00+00:00,H4,H2,0.0
2019-01-01 08:30:00+00:00,H4,H3,0.0
2019-01-01 08:30:00+00:00,H4,H4,0.0
2019-01-01 09:00:00+00:00,H1,H1,0.0
2019-01-01 09:00:00+00:00,H1,H2,0.0
2019-01-01 09:00:00+00:00,H1,H3,0.060347936847294
2019-01-01 09:00:00+00:00,H1,H4,0.102813852813853
2019-01-01 09:00:00+00:00,H2,H1,0.0
2019-01-01 09:00:00+00:00,H2,H2,0.0
2019-01-01 09:00:00+00:00,H2,H3,0.41367803717868
2019-01-01 09:00:00+00:00,H2,H4,0.0
2019-01-01 09:00:00+00:00,H3,H1,0.0
2019-01-01 09:00:00+00:00,H3,H2,0.0
2019-01-01 09:00:00+00:00,H3,H3,0.0
2019-01-01 09:00:00+00:00,H3,H4,0.0
2019-01-01 09:00:00+00:00,H4,H1,0.0
2019-01-01 09:00:00+00:00,H4,H2,0.0
2019-01-01 09:00:00+00:00,H4,H3,0.0
2019-01-01 09:00:00+00:00,H4,H4,0.0
2019-01-01 09:30:00+00:00,H1,H1,0.0
2019-01-01 09:30:00+00:00,H1,H2,0.0
2019-01-01 09:30:00+00:00,H1,H3,0.0
2019-01-01 09:30:00+00:00,H1,H4,0.0
2019-01-01 09:30:00+00:00,H2,H1,0.0
2019-01-01 09:30:00+00:00,H2,H2,0.0
2019-01-01 09:30:00+00:00,H2,H3,0.0
2019-01-01 09:30:00+00:00,H2,H4,0.0
2019-01-01 09:30:00+00:00,H3,H1,0.0
2019-01-01 09:30:00+00:00,H3,H2,0.0
2019-01-01 09:30:00+00:00,H3,H3,0.0
2019-01-01 09:30:00+00:00,H3,H4,0.0
2019-01-01 09:30:00+00:00,H4,H1,0.0
2019-01-01 09:30:00+00:00,H4,H2,0.0
2019-01-01 09:30:00+00:00,H4,H3,0.0
2019-01-01 09:30:00+00:00,H4,H4,0.0
2019-01-01 10:00:00+00:00,H1,H1,0.0
2019-01-01 10:00:00+00:00,H1,H2,0.0
2019-01-01 10:00:00+00:00,H1,H3,0.0
2019-01-01 10:00:00+00:00,H1,H4,0.0
2019-01-01 10:00:00+00:00,H2,H1,0.0
2019-01-01 10:00:00+00:00,H2,H2,0.0
2019-01-01 10:00:00+00:00,H2,H3,0.0
2019-01-01 10:00:00+00:00,H2,H4,0.0
2019-01-01 10:00:00+00:00,H3,H1,0.0
2019-01-01 10:00:00+00:00,H3,H2,0.0
2019-01-01 10:00:00+00:00,H3,H3,0.0
2019-01-01 10:00:00+00:00,H3,H4,0.0
2019-01-01 10:00:00+00:00,H4,H1,0.0
2019-01-01 10:00:00+00:00,H4,H2,0.0
2019-01-01 10:00:00+00:00,H4,H3,0.0
2019-01-01 10:00:00+00:00,H4,H4,0.0
2019-01-01 10:30:00+00:00,H1,H1,0.0
2019-01-01 10:30:00+00:00,H1,H2,0.0
2019-01-01 10:30:00+00:00,H1,H3,0.0
2019-01-01 10:30:00+00:00,H1,H4,0.0
2019-01-01 10:30:00+00:00,H2,H1,0.0
2019-01-01 10:30:00+00:00,H2,H2,0.0
2019-01-01 10:30:00+00:00,H2,H3,0.0
2019-01-01 10:30:00+00:00,H2,H4,0.0
2019-01-01 10:30:00+00:00,H3,H1,0.0
2019-01-01 10:30:00+00:00,H3,H2,0.0
2019-01-01 10:30:00+00:00,H3,H3,0.0
2019-01-01 10:30:00+00:00,H3,H4,0.0
2019-01-01 10:30:00+00:00,H4,H1,0.0
2019-01-01 10:30:00+00:00,H4,H2,0.0
2019-01-01 10:30:00+00:00,H4,H3,0.0
2019-01-01 10:30:00+00:00,H4,H4,0.0
2019-01-01 11:00:00+00:00,H1,H1,0.0
2019-01-01 11:00:00+00:00,H1,H2,0.0
2019-01-01 11:00:00+00:00,H1,H3,0.0
2019-01-01 11:00:00+00:00,H1,H4,0.0
2019-01-01 11:00:00+00:00,H2,H1,0.0
2019-01-01 11:00:00+00:00,H2,H2,0.0
2019-01-01 11:00:00+00:00,H2,H3,0.0
2019-01-01 11:00:00+00:00,H2,H4,0.0
2019-01-01 11:00:00+00:00,H3,H1,0.0
2019-01-01 11:00:00+00:00,H3,H2,0.0
2019-01-01 11:00:00+00:00,H3,H3,0.0
2019-01-01 11:00:00+00:00,H3,H4,0.0
2019-01-01 11:00:00+00:00,H4,H1,0.0
2019-01-01 11:00:00+00:00,H4,H2,0.0
2019-01-01 11:00:00+00:00,H4,H3,0.0
2019-01-01 11:00:00+00:00,H4,H4,0.0
2019-01-01 11:30:00+00:00,H1,H1,0.0
2019-01-01 11:30:00+00:00,H1,H2,0.0
2019-01-01 11:30:00+00:00,H1,H3,0.0
2019-01-01 11:30:00+00:00,H1,H4,0.0
2019-01-01 11:30:00+00:00,H2,H1,0.0
2019-01-01 11:30:00+00:00,H2,H2,0.0
2019-01-01 11:30:00+00:00,H2,H3,0.0
2019-01-01 11:30:00+00:00,H2,H4,0.0
2019-01-01 11:30:00+00:00,H3,H1,0.0
2019-01-01 11:30:00+00:00,H3,H2,0.0
2019-01-01 11:30:00+00:00,H3,H3,0.0
2019-01-01 11:30:00+00:00,H3,H4,0.0
2019-01-01 11:30:00+00:00,H4,H1,0.0
2019-01-01 11:30:00+00:00,H4,H2,0.0
