,0
"(Timestamp('2019-01-01 18:30:00+0000', tz='UTC'), 'H1')",1.40295670995671
"(Timestamp('2019-01-01 18:30:00+0000', tz='UTC'), 'H3')",0.0
"(Timestamp('2019-01-01 19:00:00+0000', tz='UTC'), 'H1')",0.258
"(Timestamp('2019-01-01 19:00:00+0000', tz='UTC'), 'H3')",0.0
"(Timestamp('2019-01-01 19:30:00+0000', tz='UTC'), 'H1')",0.209
"(Timestamp('2019-01-01 19:30:00+0000', tz='UTC'), 'H3')",0.0
"(Timestamp('2019-01-01 20:00:00+0000', tz='UTC'), 'H1')",0.0
"(Timestamp('2019-01-01 20:00:00+0000', tz='UTC'), 'H3')",0.0
"(Timestamp('2019-01-01 20:30:00+0000', tz='UTC'), 'H1')",0.0
"(Timestamp('2019-01-01 20:30:00+0000', tz='UTC'), 'H3')",0.0
"(Timestamp('2019-01-01 21:00:00+0000', tz='UTC'), 'H1')",0.0
"(Timestamp('2019-01-01 21:00:00+0000', tz='UTC'), 'H3')",0.0
"(Timestamp('2019-01-01 21:30:00+0000', tz='UTC'), 'H1')",0.0
"(Timestamp('2019-01-01 21:30:00+0000', tz='UTC'), 'H3')",0.0
"(Timestamp('2019-01-01 22:00:00+0000', tz='UTC'), 'H1')",0.0
"(Timestamp('2019-01-01 22:00:00+0000', tz='UTC'), 'H3')",0.0
"(Timestamp('2019-01-01 22:30:00+0000', tz='UTC'), 'H1')",0.0
"(Timestamp('2019-01-01 22:30:00+0000', tz='UTC'), 'H3')",0.0
"(Timestamp('2019-01-01 23:00:00+0000', tz='UTC'), 'H1')",0.0
"(Timestamp('2019-01-01 23:00:00+0000', tz='UTC'), 'H3')",0.0
"(Timestamp('2019-01-01 23:30:00+0000', tz='UTC'), 'H1')",0.0
"(Timestamp('2019-01-01 23:30:00+0000', tz='UTC'), 'H3')",0.0
