;;1kw;2kw;3kw;5kw;;;;;
04.08.2020 18:00;;0.021;0.041;0.062;0.103;;;;;
04.08.2020 19:00;;0.001;0.002;0.003;0.004;;;;;
04.08.2020 20:00;;0;0;0;0;;;;;
04.08.2020 21:00;;0;0;0;0;;;;;
04.08.2020 22:00;;0;0;0;0;;;;;
04.08.2020 23:00;;0;0;0;0;;;;;
05.08.2020 00:00;;0;0;0;0;;;;;
05.08.2020 01:00;;0;0;0;0;;;;;
05.08.2020 02:00;;0;0;0;0;;;;;
05.08.2020 03:00;;0.014;0.028;0.041;0.069;;;;;
05.08.2020 04:00;;0.051;0.102;0.153;0.255;;;;;
05.08.2020 05:00;;0.136;0.272;0.408;0.681;;;;;
05.08.2020 06:00;;0.277;0.554;0.831;1.386;;;;;
05.08.2020 07:00;;0.371;0.743;1.114;1.857;;;;;
05.08.2020 08:00;;0.363;0.726;1.089;1.815;;;;;
05.08.2020 09:00;;0.279;0.558;0.837;1.396;;;;;
05.08.2020 10:00;;0.207;0.413;0.62;1.034;;;;;
05.08.2020 11:00;;0.152;0.305;0.457;0.762;;;;;
05.08.2020 12:00;;0.12;0.24;0.36;0.6;;;;;
05.08.2020 13:00;;0.115;0.23;0.346;0.576;;;;;
05.08.2020 14:00;;0.115;0.23;0.345;0.575;;;;;
05.08.2020 15:00;;0.099;0.198;0.297;0.495;;;;;
05.08.2020 16:00;;0.067;0.135;0.202;0.337;;;;;
05.08.2020 17:00;;0.038;0.075;0.113;0.188;;;;;
05.08.2020 18:00;;0.012;0.024;0.035;0.059;;;;;
05.08.2020 19:00;;0;0;0;0;;;;;
05.08.2020 20:00;;0;0;0;0;;;;;
05.08.2020 21:00;;0;0;0;0;;;;;
05.08.2020 22:00;;0;0;0;0;;;;;
05.08.2020 23:00;;0;0;0;0;;;;;
06.08.2020 00:00;;0;0;0;0;;;;;
06.08.2020 01:00;;0;0;0;0;;;;;
06.08.2020 02:00;;0;0;0;0;;;;;
06.08.2020 03:00;;0.003;0.006;0.008;0.014;;;;;
06.08.2020 04:00;;0.024;0.048;0.073;0.121;;;;;
06.08.2020 05:00;;0.084;0.167;0.251;0.417;;;;;
06.08.2020 06:00;;0.17;0.34;0.511;0.851;;;;;
06.08.2020 07:00;;0.184;0.368;0.553;0.92;;;;;
06.08.2020 08:00;;0.17;0.34;0.51;0.849;;;;;
06.08.2020 09:00;;0.206;0.411;0.617;1.028;;;;;
06.08.2020 10:00;;0.233;0.466;0.698;1.162;;;;;
06.08.2020 11:00;;0.255;0.509;0.764;1.272;;;;;
06.08.2020 12:00;;0.247;0.494;0.741;1.235;;;;;
06.08.2020 13:00;;0.234;0.469;0.703;1.172;;;;;
06.08.2020 14:00;;0.195;0.391;0.586;0.977;;;;;
06.08.2020 15:00;;0.14;0.28;0.421;0.701;;;;;
06.08.2020 16:00;;0.116;0.231;0.347;0.578;;;;;
06.08.2020 17:00;;0.085;0.17;0.255;0.425;;;;;
06.08.2020 18:00;;0.034;0.069;0.103;0.172;;;;;
06.08.2020 19:00;;0.001;0.003;0.004;0.007;;;;;
06.08.2020 20:00;;0;0;0;0;;;;;
06.08.2020 21:00;;0;0;0;0;;;;;
06.08.2020 22:00;;0;0;0;0;;;;;
06.08.2020 23:00;;0;0;0;0;;;;;
07.08.2020 00:00;;0;0;0;0;;;;;
07.08.2020 01:00;;0;0;0;0;;;;;
07.08.2020 02:00;;0;0;0;0;;;;;
07.08.2020 03:00;;0.01;0.02;0.029;0.049;;;;;
07.08.2020 04:00;;0.039;0.077;0.116;0.194;;;;;
07.08.2020 05:00;;0.122;0.245;0.367;0.612;;;;;
07.08.2020 06:00;;0.289;0.579;0.868;1.447;;;;;
07.08.2020 07:00;;0.449;0.899;1.348;2.247;;;;;
07.08.2020 08:00;;0.578;1.157;1.735;2.891;;;;;
07.08.2020 09:00;;0.669;1.338;2.007;3.345;;;;;
07.08.2020 10:00;;0.718;1.436;2.154;3.59;;;;;
07.08.2020 11:00;;0.721;1.442;2.163;3.605;;;;;
07.08.2020 12:00;;0.619;1.239;1.858;3.097;;;;;
07.08.2020 13:00;;0.424;0.848;1.271;2.119;;;;;
07.08.2020 14:00;;0.323;0.646;0.969;1.614;;;;;
07.08.2020 15:00;;0.241;0.483;0.724;1.207;;;;;
07.08.2020 16:00;;0.16;0.319;0.479;0.799;;;;;
07.08.2020 17:00;;0.075;0.149;0.224;0.373;;;;;
07.08.2020 18:00;;0.025;0.049;0.074;0.124;;;;;
07.08.2020 19:00;;0;0;0;0;;;;;
07.08.2020 20:00;;0;0;0;0;;;;;
07.08.2020 21:00;;0;0;0;0;;;;;
07.08.2020 22:00;;0;0;0;0;;;;;
07.08.2020 23:00;;0;0;0;0;;;;;
08.08.2020 00:00;;0;0;0;0;;;;;
08.08.2020 01:00;;0;0;0;0;;;;;
08.08.2020 02:00;;0;0;0;0;;;;;
08.08.2020 03:00;;0.008;0.016;0.024;0.039;;;;;
08.08.2020 04:00;;0.045;0.091;0.136;0.227;;;;;
08.08.2020 05:00;;0.112;0.224;0.337;0.561;;;;;
08.08.2020 06:00;;0.181;0.363;0.544;0.906;;;;;
08.08.2020 07:00;;0.233;0.465;0.698;1.162;;;;;
08.08.2020 08:00;;0.221;0.441;0.662;1.102;;;;;
08.08.2020 09:00;;0.193;0.387;0.58;0.966;;;;;
08.08.2020 10:00;;0.179;0.359;0.538;0.897;;;;;
08.08.2020 11:00;;0.25;0.501;0.751;1.253;;;;;
08.08.2020 12:00;;0.474;0.947;1.421;2.368;;;;;
08.08.2020 13:00;;0.277;0.554;0.831;1.384;;;;;
08.08.2020 14:00;;0.133;0.266;0.399;0.666;;;;;
08.08.2020 15:00;;0.12;0.241;0.361;0.602;;;;;
08.08.2020 16:00;;0.139;0.279;0.418;0.698;;;;;
08.08.2020 17:00;;0.078;0.157;0.235;0.392;;;;;
08.08.2020 18:00;;0.028;0.056;0.085;0.141;;;;;
08.08.2020 19:00;;0;0;0;0;;;;;
08.08.2020 20:00;;0;0;0;0;;;;;
08.08.2020 21:00;;0;0;0;0;;;;;
08.08.2020 22:00;;0;0;0;0;;;;;
08.08.2020 23:00;;0;0;0;0;;;;;
09.08.2020 00:00;;0;0;0;0;;;;;
09.08.2020 01:00;;0;0;0;0;;;;;
09.08.2020 02:00;;0;0;0;0;;;;;
09.08.2020 03:00;;0.007;0.015;0.022;0.037;;;;;
09.08.2020 04:00;;0.04;0.08;0.12;0.2;;;;;
09.08.2020 05:00;;0.112;0.223;0.335;0.558;;;;;
09.08.2020 06:00;;0.255;0.51;0.764;1.274;;;;;
09.08.2020 07:00;;0.388;0.776;1.164;1.94;;;;;
09.08.2020 08:00;;0.535;1.07;1.605;2.676;;;;;
09.08.2020 09:00;;0.664;1.328;1.991;3.319;;;;;
09.08.2020 10:00;;0.723;1.445;2.168;3.612;;;;;
09.08.2020 11:00;;0.746;1.491;2.237;3.729;;;;;
09.08.2020 12:00;;0.669;1.338;2.006;3.344;;;;;
09.08.2020 13:00;;0.524;1.048;1.572;2.621;;;;;
09.08.2020 14:00;;0.386;0.772;1.158;1.931;;;;;
09.08.2020 15:00;;0.209;0.418;0.627;1.045;;;;;
09.08.2020 16:00;;0.136;0.273;0.409;0.681;;;;;
09.08.2020 17:00;;0.074;0.149;0.223;0.372;;;;;
09.08.2020 18:00;;0.027;0.054;0.081;0.136;;;;;
09.08.2020 19:00;;0;0;0.001;0.001;;;;;
09.08.2020 20:00;;0;0;0;0;;;;;
09.08.2020 21:00;;0;0;0;0;;;;;
09.08.2020 22:00;;0;0;0;0;;;;;
09.08.2020 23:00;;0;0;0;0;;;;;
10.08.2020 00:00;;0;0;0;0;;;;;
10.08.2020 01:00;;0;0;0;0;;;;;
10.08.2020 02:00;;0;0;0;0;;;;;
10.08.2020 03:00;;0.007;0.013;0.02;0.033;;;;;
10.08.2020 04:00;;0.033;0.065;0.098;0.163;;;;;
10.08.2020 05:00;;0.118;0.237;0.355;0.592;;;;;
10.08.2020 06:00;;0.288;0.577;0.865;1.441;;;;;
10.08.2020 07:00;;0.459;0.918;1.377;2.295;;;;;
10.08.2020 08:00;;0.594;1.188;1.782;2.969;;;;;
10.08.2020 09:00;;0.681;1.361;2.042;3.403;;;;;
10.08.2020 10:00;;0.717;1.434;2.151;3.584;;;;;
10.08.2020 11:00;;0.715;1.43;2.146;3.576;;;;;
10.08.2020 12:00;;0.697;1.394;2.09;3.484;;;;;
10.08.2020 13:00;;0.651;1.302;1.953;3.255;;;;;
10.08.2020 14:00;;0.549;1.098;1.646;2.744;;;;;
10.08.2020 15:00;;0.375;0.751;1.126;1.877;;;;;
10.08.2020 16:00;;0.18;0.36;0.54;0.9;;;;;
10.08.2020 17:00;;0.067;0.134;0.202;0.336;;;;;
10.08.2020 18:00;;0.02;0.04;0.06;0.1;;;;;
10.08.2020 19:00;;0;0;0;0;;;;;
10.08.2020 20:00;;0;0;0;0;;;;;
10.08.2020 21:00;;0;0;0;0;;;;;
10.08.2020 22:00;;0;0;0;0;;;;;
10.08.2020 23:00;;0;0;0;0;;;;;
11.08.2020 00:00;;0;0;0;0;;;;;
11.08.2020 01:00;;0;0;0;0;;;;;
11.08.2020 02:00;;0;0;0;0;;;;;
11.08.2020 03:00;;0.004;0.008;0.012;0.02;;;;;
11.08.2020 04:00;;0.037;0.073;0.11;0.183;;;;;
11.08.2020 05:00;;0.108;0.215;0.323;0.538;;;;;
11.08.2020 06:00;;0.236;0.472;0.709;1.181;;;;;
11.08.2020 07:00;;0.372;0.744;1.115;1.858;;;;;
11.08.2020 08:00;;0.422;0.845;1.267;2.111;;;;;
11.08.2020 09:00;;0.388;0.775;1.163;1.936;;;;;
11.08.2020 10:00;;0.378;0.755;1.133;1.886;;;;;
11.08.2020 11:00;;0.342;0.683;1.025;1.707;;;;;
11.08.2020 12:00;;0.353;0.707;1.06;1.767;;;;;
11.08.2020 13:00;;0.412;0.824;1.236;2.061;;;;;
11.08.2020 14:00;;0.429;0.857;1.286;2.144;;;;;
11.08.2020 15:00;;0.321;0.643;0.964;1.607;;;;;
11.08.2020 16:00;;0.189;0.378;0.567;0.945;;;;;
11.08.2020 17:00;;0.075;0.151;0.226;0.377;;;;;
11.08.2020 18:00;;0.023;0.045;0.068;0.113;;;;;
11.08.2020 19:00;;0;0;0;0;;;;;
11.08.2020 20:00;;0;0;0;0;;;;;
11.08.2020 21:00;;0;0;0;0;;;;;
11.08.2020 22:00;;0;0;0;0;;;;;
11.08.2020 23:00;;0;0;0;0;;;;;
12.08.2020 00:00;;0;0;0;0;;;;;
12.08.2020 01:00;;0;0;0;0;;;;;
12.08.2020 02:00;;0;0;0;0;;;;;
12.08.2020 03:00;;0.003;0.006;0.008;0.014;;;;;
12.08.2020 04:00;;0.033;0.067;0.1;0.167;;;;;
12.08.2020 05:00;;0.099;0.197;0.296;0.493;;;;;
12.08.2020 06:00;;0.241;0.482;0.723;1.204;;;;;
12.08.2020 07:00;;0.392;0.783;1.175;1.958;;;;;
12.08.2020 08:00;;0.528;1.057;1.585;2.642;;;;;
12.08.2020 09:00;;0.638;1.276;1.914;3.189;;;;;
12.08.2020 10:00;;0.663;1.326;1.989;3.315;;;;;
12.08.2020 11:00;;0.654;1.307;1.961;3.268;;;;;
12.08.2020 12:00;;0.677;1.355;2.032;3.386;;;;;
12.08.2020 13:00;;0.621;1.242;1.863;3.105;;;;;
12.08.2020 14:00;;0.495;0.989;1.484;2.472;;;;;
12.08.2020 15:00;;0.28;0.559;0.839;1.397;;;;;
12.08.2020 16:00;;0.128;0.256;0.383;0.639;;;;;
12.08.2020 17:00;;0.053;0.105;0.158;0.263;;;;;
12.08.2020 18:00;;0.02;0.041;0.061;0.102;;;;;
12.08.2020 19:00;;0;0;0;0;;;;;
12.08.2020 20:00;;0;0;0;0;;;;;
12.08.2020 21:00;;0;0;0;0;;;;;
12.08.2020 22:00;;0;0;0;0;;;;;
12.08.2020 23:00;;0;0;0;0;;;;;
13.08.2020 00:00;;0;0;0;0;;;;;
13.08.2020 01:00;;0;0;0;0;;;;;
13.08.2020 02:00;;0;0;0;0;;;;;
13.08.2020 03:00;;0;0;0;0;;;;;
13.08.2020 04:00;;0.009;0.018;0.026;0.044;;;;;
13.08.2020 05:00;;0.025;0.051;0.076;0.127;;;;;
13.08.2020 06:00;;0.047;0.095;0.142;0.237;;;;;
13.08.2020 07:00;;0.071;0.142;0.212;0.354;;;;;
13.08.2020 08:00;;0.096;0.193;0.289;0.482;;;;;
13.08.2020 09:00;;0.104;0.208;0.312;0.52;;;;;
13.08.2020 10:00;;0.119;0.238;0.357;0.595;;;;;
13.08.2020 11:00;;0.116;0.231;0.347;0.578;;;;;
13.08.2020 12:00;;0.089;0.178;0.266;0.444;;;;;
13.08.2020 13:00;;0.102;0.205;0.307;0.512;;;;;
13.08.2020 14:00;;0.103;0.205;0.308;0.513;;;;;
13.08.2020 15:00;;0.098;0.196;0.294;0.49;;;;;
13.08.2020 16:00;;0.084;0.168;0.253;0.421;;;;;
13.08.2020 17:00;;0.052;0.103;0.155;0.259;;;;;
13.08.2020 18:00;;0.015;0.03;0.045;0.075;;;;;
13.08.2020 19:00;;0;0;0;0;;;;;
13.08.2020 20:00;;0;0;0;0;;;;;
13.08.2020 21:00;;0;0;0;0;;;;;
13.08.2020 22:00;;0;0;0;0;;;;;
13.08.2020 23:00;;0;0;0;0;;;;;
14.08.2020 00:00;;0;0;0;0;;;;;
14.08.2020 01:00;;0;0;0;0;;;;;
14.08.2020 02:00;;0;0;0;0;;;;;
14.08.2020 03:00;;0;0;0.001;0.001;;;;;
14.08.2020 04:00;;0.021;0.043;0.064;0.107;;;;;
14.08.2020 05:00;;0.074;0.148;0.222;0.37;;;;;
14.08.2020 06:00;;0.147;0.294;0.441;0.735;;;;;
14.08.2020 07:00;;0.233;0.466;0.699;1.165;;;;;
14.08.2020 08:00;;0.391;0.782;1.174;1.956;;;;;
14.08.2020 09:00;;0.564;1.128;1.692;2.82;;;;;
14.08.2020 10:00;;0.643;1.286;1.928;3.214;;;;;
14.08.2020 11:00;;0.708;1.417;2.125;3.541;;;;;
14.08.2020 12:00;;0.714;1.429;2.143;3.572;;;;;
14.08.2020 13:00;;0.648;1.295;1.943;3.238;;;;;
14.08.2020 14:00;;0.523;1.046;1.569;2.614;;;;;
14.08.2020 15:00;;0.362;0.724;1.086;1.81;;;;;
14.08.2020 16:00;;0.195;0.391;0.586;0.976;;;;;
14.08.2020 17:00;;0.069;0.138;0.207;0.345;;;;;
14.08.2020 18:00;;0.019;0.038;0.058;0.096;;;;;
14.08.2020 19:00;;0;0;0;0;;;;;
14.08.2020 20:00;;0;0;0;0;;;;;
14.08.2020 21:00;;0;0;0;0;;;;;
14.08.2020 22:00;;0;0;0;0;;;;;
14.08.2020 23:00;;0;0;0;0;;;;;
15.08.2020 00:00;;0;0;0;0;;;;;
15.08.2020 01:00;;0;0;0;0;;;;;
15.08.2020 02:00;;0;0;0;0;;;;;
15.08.2020 03:00;;0;0.001;0.001;0.002;;;;;
15.08.2020 04:00;;0.02;0.039;0.059;0.098;;;;;
15.08.2020 05:00;;0.051;0.103;0.154;0.256;;;;;
15.08.2020 06:00;;0.096;0.192;0.288;0.48;;;;;
15.08.2020 07:00;;0.134;0.269;0.403;0.671;;;;;
15.08.2020 08:00;;0.171;0.343;0.514;0.856;;;;;
15.08.2020 09:00;;0.199;0.397;0.596;0.993;;;;;
15.08.2020 10:00;;0.229;0.458;0.687;1.144;;;;;
15.08.2020 11:00;;0.234;0.467;0.701;1.168;;;;;
15.08.2020 12:00;;0.223;0.447;0.67;1.116;;;;;
15.08.2020 13:00;;0.183;0.366;0.549;0.914;;;;;
15.08.2020 14:00;;0.154;0.308;0.462;0.769;;;;;
15.08.2020 15:00;;0.097;0.193;0.29;0.483;;;;;
15.08.2020 16:00;;0.052;0.104;0.156;0.26;;;;;
15.08.2020 17:00;;0.023;0.045;0.068;0.113;;;;;
15.08.2020 18:00;;0.004;0.008;0.012;0.019;;;;;
15.08.2020 19:00;;0;0;0;0;;;;;
15.08.2020 20:00;;0;0;0;0;;;;;
15.08.2020 21:00;;0;0;0;0;;;;;
15.08.2020 22:00;;0;0;0;0;;;;;
15.08.2020 23:00;;0;0;0;0;;;;;
16.08.2020 00:00;;0;0;0;0;;;;;
16.08.2020 01:00;;0;0;0;0;;;;;
16.08.2020 02:00;;0;0;0;0;;;;;
16.08.2020 03:00;;0;0;0;0;;;;;
16.08.2020 04:00;;0.021;0.041;0.062;0.104;;;;;
16.08.2020 05:00;;0.066;0.132;0.197;0.329;;;;;
16.08.2020 06:00;;0.122;0.243;0.365;0.608;;;;;
16.08.2020 07:00;;0.242;0.484;0.726;1.211;;;;;
16.08.2020 08:00;;0.431;0.862;1.293;2.156;;;;;
16.08.2020 09:00;;0.524;1.047;1.571;2.619;;;;;
16.08.2020 10:00;;0.582;1.165;1.747;2.913;;;;;
16.08.2020 11:00;;0.612;1.223;1.835;3.059;;;;;
16.08.2020 12:00;;0.605;1.209;1.814;3.024;;;;;
16.08.2020 13:00;;0.555;1.11;1.665;2.776;;;;;
16.08.2020 14:00;;0.458;0.916;1.374;2.291;;;;;
16.08.2020 15:00;;0.324;0.648;0.972;1.62;;;;;
16.08.2020 16:00;;0.188;0.376;0.564;0.94;;;;;
16.08.2020 17:00;;0.067;0.134;0.201;0.335;;;;;
16.08.2020 18:00;;0.017;0.033;0.05;0.084;;;;;
16.08.2020 19:00;;0;0;0;0;;;;;
16.08.2020 20:00;;0;0;0;0;;;;;
16.08.2020 21:00;;0;0;0;0;;;;;
16.08.2020 22:00;;0;0;0;0;;;;;
16.08.2020 23:00;;0;0;0;0;;;;;
17.08.2020 00:00;;0;0;0;0;;;;;
17.08.2020 01:00;;0;0;0;0;;;;;
17.08.2020 02:00;;0;0;0;0;;;;;
17.08.2020 03:00;;0;0.001;0.001;0.002;;;;;
17.08.2020 04:00;;0.026;0.052;0.078;0.13;;;;;
17.08.2020 05:00;;0.106;0.213;0.319;0.532;;;;;
17.08.2020 06:00;;0.283;0.565;0.848;1.413;;;;;
17.08.2020 07:00;;0.455;0.911;1.366;2.277;;;;;
17.08.2020 08:00;;0.593;1.185;1.778;2.963;;;;;
17.08.2020 09:00;;0.689;1.378;2.066;3.444;;;;;
17.08.2020 10:00;;0.741;1.481;2.222;3.703;;;;;
17.08.2020 11:00;;0.751;1.502;2.253;3.755;;;;;
17.08.2020 12:00;;0.721;1.442;2.162;3.604;;;;;
17.08.2020 13:00;;0.648;1.295;1.943;3.238;;;;;
17.08.2020 14:00;;0.533;1.066;1.599;2.665;;;;;
17.08.2020 15:00;;0.384;0.769;1.153;1.921;;;;;
17.08.2020 16:00;;0.213;0.426;0.639;1.065;;;;;
17.08.2020 17:00;;0.06;0.12;0.18;0.3;;;;;
17.08.2020 18:00;;0.014;0.027;0.041;0.068;;;;;
17.08.2020 19:00;;0;0;0;0;;;;;
17.08.2020 20:00;;0;0;0;0;;;;;
17.08.2020 21:00;;0;0;0;0;;;;;
17.08.2020 22:00;;0;0;0;0;;;;;
17.08.2020 23:00;;0;0;0;0;;;;;
18.08.2020 00:00;;0;0;0;0;;;;;
18.08.2020 01:00;;0;0;0;0;;;;;
18.08.2020 02:00;;0;0;0;0;;;;;
18.08.2020 03:00;;0;0;0;0;;;;;
18.08.2020 04:00;;0.025;0.05;0.075;0.125;;;;;
18.08.2020 05:00;;0.1;0.199;0.299;0.498;;;;;
18.08.2020 06:00;;0.264;0.527;0.791;1.318;;;;;
18.08.2020 07:00;;0.432;0.865;1.297;2.162;;;;;
18.08.2020 08:00;;0.57;1.139;1.709;2.848;;;;;
18.08.2020 09:00;;0.665;1.331;1.996;3.327;;;;;
18.08.2020 10:00;;0.716;1.432;2.148;3.579;;;;;
18.08.2020 11:00;;0.715;1.431;2.146;3.576;;;;;
18.08.2020 12:00;;0.677;1.354;2.03;3.384;;;;;
18.08.2020 13:00;;0.586;1.172;1.757;2.929;;;;;
18.08.2020 14:00;;0.462;0.924;1.387;2.311;;;;;
18.08.2020 15:00;;0.335;0.669;1.004;1.673;;;;;
18.08.2020 16:00;;0.185;0.371;0.556;0.927;;;;;
18.08.2020 17:00;;0.057;0.115;0.172;0.288;;;;;
18.08.2020 18:00;;0.011;0.023;0.034;0.056;;;;;
18.08.2020 19:00;;0;0;0;0;;;;;
18.08.2020 20:00;;0;0;0;0;;;;;
18.08.2020 21:00;;0;0;0;0;;;;;
18.08.2020 22:00;;0;0;0;0;;;;;
18.08.2020 23:00;;0;0;0;0;;;;;
19.08.2020 00:00;;0;0;0;0;;;;;
19.08.2020 01:00;;0;0;0;0;;;;;
19.08.2020 02:00;;0;0;0;0;;;;;
19.08.2020 03:00;;0;0;0;0;;;;;
19.08.2020 04:00;;0.025;0.05;0.075;0.125;;;;;
19.08.2020 05:00;;0.092;0.184;0.277;0.461;;;;;
19.08.2020 06:00;;0.222;0.443;0.665;1.108;;;;;
19.08.2020 07:00;;0.357;0.714;1.07;1.784;;;;;
19.08.2020 08:00;;0.417;0.834;1.251;2.085;;;;;
19.08.2020 09:00;;0.444;0.887;1.331;2.219;;;;;
19.08.2020 10:00;;0.458;0.916;1.375;2.292;;;;;
19.08.2020 11:00;;0.43;0.859;1.289;2.15;;;;;
19.08.2020 12:00;;0.374;0.747;1.121;1.87;;;;;
19.08.2020 13:00;;0.273;0.547;0.82;1.367;;;;;
19.08.2020 14:00;;0.219;0.437;0.656;1.094;;;;;
19.08.2020 15:00;;0.152;0.303;0.455;0.758;;;;;
19.08.2020 16:00;;0.09;0.181;0.271;0.452;;;;;
19.08.2020 17:00;;0.038;0.076;0.114;0.191;;;;;
19.08.2020 18:00;;0.005;0.01;0.015;0.026;;;;;
19.08.2020 19:00;;0;0;0;0;;;;;
19.08.2020 20:00;;0;0;0;0;;;;;
19.08.2020 21:00;;0;0;0;0;;;;;
19.08.2020 22:00;;0;0;0;0;;;;;
19.08.2020 23:00;;0;0;0;0;;;;;
20.08.2020 00:00;;0;0;0;0;;;;;
20.08.2020 01:00;;0;0;0;0;;;;;
20.08.2020 02:00;;0;0;0;0;;;;;
20.08.2020 03:00;;0;0;0;0;;;;;
20.08.2020 04:00;;0.01;0.02;0.03;0.049;;;;;
20.08.2020 05:00;;0.04;0.08;0.12;0.2;;;;;
20.08.2020 06:00;;0.089;0.177;0.266;0.443;;;;;
20.08.2020 07:00;;0.134;0.268;0.401;0.669;;;;;
20.08.2020 08:00;;0.191;0.382;0.572;0.954;;;;;
20.08.2020 09:00;;0.243;0.487;0.73;1.217;;;;;
20.08.2020 10:00;;0.352;0.703;1.055;1.759;;;;;
20.08.2020 11:00;;0.357;0.714;1.072;1.786;;;;;
20.08.2020 12:00;;0.376;0.752;1.128;1.881;;;;;
20.08.2020 13:00;;0.332;0.664;0.997;1.662;;;;;
20.08.2020 14:00;;0.292;0.584;0.877;1.462;;;;;
20.08.2020 15:00;;0.229;0.458;0.687;1.145;;;;;
20.08.2020 16:00;;0.131;0.262;0.393;0.655;;;;;
20.08.2020 17:00;;0.053;0.106;0.159;0.265;;;;;
20.08.2020 18:00;;0.009;0.017;0.026;0.044;;;;;
20.08.2020 19:00;;0;0;0;0;;;;;
20.08.2020 20:00;;0;0;0;0;;;;;
20.08.2020 21:00;;0;0;0;0;;;;;
20.08.2020 22:00;;0;0;0;0;;;;;
20.08.2020 23:00;;0;0;0;0;;;;;
21.08.2020 00:00;;0;0;0;0;;;;;
21.08.2020 01:00;;0;0;0;0;;;;;
21.08.2020 02:00;;0;0;0;0;;;;;
21.08.2020 03:00;;0;0;0;0;;;;;
21.08.2020 04:00;;0.022;0.045;0.067;0.112;;;;;
21.08.2020 05:00;;0.089;0.178;0.268;0.446;;;;;
21.08.2020 06:00;;0.217;0.433;0.65;1.083;;;;;
21.08.2020 07:00;;0.313;0.626;0.939;1.565;;;;;
21.08.2020 08:00;;0.355;0.71;1.065;1.775;;;;;
21.08.2020 09:00;;0.41;0.819;1.229;2.047;;;;;
21.08.2020 10:00;;0.627;1.254;1.881;3.135;;;;;
21.08.2020 11:00;;0.671;1.342;2.012;3.354;;;;;
21.08.2020 12:00;;0.372;0.745;1.117;1.862;;;;;
21.08.2020 13:00;;0.196;0.393;0.589;0.982;;;;;
21.08.2020 14:00;;0.24;0.48;0.72;1.2;;;;;
21.08.2020 15:00;;0.148;0.296;0.444;0.739;;;;;
21.08.2020 16:00;;0.098;0.196;0.293;0.489;;;;;
21.08.2020 17:00;;0.042;0.084;0.127;0.211;;;;;
21.08.2020 18:00;;0.001;0.002;0.002;0.004;;;;;
21.08.2020 19:00;;0;0;0;0;;;;;
21.08.2020 20:00;;0;0;0;0;;;;;
21.08.2020 21:00;;0;0;0;0;;;;;
21.08.2020 22:00;;0;0;0;0;;;;;
21.08.2020 23:00;;0;0;0;0;;;;;
22.08.2020 00:00;;0;0;0;0;;;;;
22.08.2020 01:00;;0;0;0;0;;;;;
22.08.2020 02:00;;0;0;0;0;;;;;
22.08.2020 03:00;;0;0;0;0;;;;;
22.08.2020 04:00;;0.011;0.021;0.032;0.054;;;;;
22.08.2020 05:00;;0.045;0.09;0.135;0.225;;;;;
22.08.2020 06:00;;0.064;0.127;0.191;0.319;;;;;
22.08.2020 07:00;;0.069;0.138;0.207;0.345;;;;;
22.08.2020 08:00;;0.106;0.211;0.317;0.528;;;;;
22.08.2020 09:00;;0.168;0.337;0.505;0.842;;;;;
22.08.2020 10:00;;0.152;0.305;0.457;0.762;;;;;
22.08.2020 11:00;;0.129;0.258;0.388;0.646;;;;;
22.08.2020 12:00;;0.139;0.279;0.418;0.697;;;;;
22.08.2020 13:00;;0.154;0.309;0.463;0.772;;;;;
22.08.2020 14:00;;0.133;0.265;0.398;0.662;;;;;
22.08.2020 15:00;;0.108;0.215;0.323;0.537;;;;;
22.08.2020 16:00;;0.073;0.145;0.218;0.363;;;;;
22.08.2020 17:00;;0.037;0.073;0.11;0.183;;;;;
22.08.2020 18:00;;0.005;0.011;0.016;0.027;;;;;
22.08.2020 19:00;;0;0;0;0;;;;;
22.08.2020 20:00;;0;0;0;0;;;;;
22.08.2020 21:00;;0;0;0;0;;;;;
22.08.2020 22:00;;0;0;0;0;;;;;
22.08.2020 23:00;;0;0;0;0;;;;;
23.08.2020 00:00;;0;0;0;0;;;;;
23.08.2020 01:00;;0;0;0;0;;;;;
23.08.2020 02:00;;0;0;0;0;;;;;
23.08.2020 03:00;;0;0;0;0;;;;;
23.08.2020 04:00;;0.007;0.014;0.02;0.034;;;;;
23.08.2020 05:00;;0.054;0.107;0.161;0.268;;;;;
23.08.2020 06:00;;0.143;0.286;0.429;0.714;;;;;
23.08.2020 07:00;;0.329;0.659;0.988;1.647;;;;;
23.08.2020 08:00;;0.385;0.769;1.154;1.923;;;;;
23.08.2020 09:00;;0.453;0.905;1.358;2.263;;;;;
23.08.2020 10:00;;0.531;1.062;1.593;2.655;;;;;
23.08.2020 11:00;;0.532;1.064;1.597;2.661;;;;;
23.08.2020 12:00;;0.461;0.921;1.382;2.302;;;;;
23.08.2020 13:00;;0.296;0.592;0.888;1.48;;;;;
23.08.2020 14:00;;0.172;0.345;0.517;0.862;;;;;
23.08.2020 15:00;;0.124;0.248;0.372;0.62;;;;;
23.08.2020 16:00;;0.083;0.166;0.249;0.415;;;;;
23.08.2020 17:00;;0.034;0.067;0.101;0.168;;;;;
23.08.2020 18:00;;0.005;0.009;0.014;0.023;;;;;
23.08.2020 19:00;;0;0;0;0;;;;;
23.08.2020 20:00;;0;0;0;0;;;;;
23.08.2020 21:00;;0;0;0;0;;;;;
23.08.2020 22:00;;0;0;0;0;;;;;
23.08.2020 23:00;;0;0;0;0;;;;;
24.08.2020 00:00;;0;0;0;0;;;;;
