,0
"(Timestamp('2019-01-01 10:00:00+0000', tz='UTC'), 'H3')",4.0
"(Timestamp('2019-01-01 10:30:00+0000', tz='UTC'), 'H1')",4.0
"(Timestamp('2019-01-01 10:30:00+0000', tz='UTC'), 'H3')",4.0
"(Timestamp('2019-01-01 11:00:00+0000', tz='UTC'), 'H1')",4.0
"(Timestamp('2019-01-01 11:00:00+0000', tz='UTC'), 'H3')",4.0
"(Timestamp('2019-01-01 11:30:00+0000', tz='UTC'), 'H1')",4.0
"(Timestamp('2019-01-01 11:30:00+0000', tz='UTC'), 'H3')",4.0
"(Timestamp('2019-01-01 12:00:00+0000', tz='UTC'), 'H1')",4.0
"(Timestamp('2019-01-01 12:00:00+0000', tz='UTC'), 'H3')",3.0875
"(Timestamp('2019-01-01 12:30:00+0000', tz='UTC'), 'H1')",4.0
"(Timestamp('2019-01-01 12:30:00+0000', tz='UTC'), 'H3')",2.95880972988179
"(Timestamp('2019-01-01 13:00:00+0000', tz='UTC'), 'H1')",3.41316287878788
"(Timestamp('2019-01-01 13:00:00+0000', tz='UTC'), 'H3')",2.45672639654845
"(Timestamp('2019-01-01 13:30:00+0000', tz='UTC'), 'H1')",2.81957521645022
"(Timestamp('2019-01-01 13:30:00+0000', tz='UTC'), 'H3')",1.99839306321512
"(Timestamp('2019-01-01 14:00:00+0000', tz='UTC'), 'H1')",1.57859963195103
"(Timestamp('2019-01-01 14:00:00+0000', tz='UTC'), 'H3')",1.19270833333333
"(Timestamp('2019-01-01 14:30:00+0000', tz='UTC'), 'H1')",0.8
"(Timestamp('2019-01-01 14:30:00+0000', tz='UTC'), 'H3')",0.8
"(Timestamp('2019-01-01 15:00:00+0000', tz='UTC'), 'H1')",1.6
"(Timestamp('2019-01-01 15:00:00+0000', tz='UTC'), 'H3')",1.6
"(Timestamp('2019-01-01 15:30:00+0000', tz='UTC'), 'H1')",4.0
"(Timestamp('2019-01-01 15:30:00+0000', tz='UTC'), 'H3')",4.0
"(Timestamp('2019-01-01 16:00:00+0000', tz='UTC'), 'H1')",3.86770833333333
"(Timestamp('2019-01-01 16:00:00+0000', tz='UTC'), 'H3')",4.0
"(Timestamp('2019-01-01 16:30:00+0000', tz='UTC'), 'H1')",3.86770833333333
"(Timestamp('2019-01-01 16:30:00+0000', tz='UTC'), 'H3')",4.0
"(Timestamp('2019-01-01 17:00:00+0000', tz='UTC'), 'H1')",3.86770833333333
"(Timestamp('2019-01-01 17:00:00+0000', tz='UTC'), 'H3')",3.05176576020245
"(Timestamp('2019-01-01 17:30:00+0000', tz='UTC'), 'H1')",3.86770833333333
"(Timestamp('2019-01-01 17:30:00+0000', tz='UTC'), 'H3')",1.96589295345916
"(Timestamp('2019-01-01 18:00:00+0000', tz='UTC'), 'H1')",2.74787157287157
"(Timestamp('2019-01-01 18:00:00+0000', tz='UTC'), 'H3')",0.8
"(Timestamp('2019-01-01 18:30:00+0000', tz='UTC'), 'H1')",1.28645833333333
"(Timestamp('2019-01-01 18:30:00+0000', tz='UTC'), 'H3')",0.8
"(Timestamp('2019-01-01 19:00:00+0000', tz='UTC'), 'H1')",1.01770833333333
"(Timestamp('2019-01-01 19:00:00+0000', tz='UTC'), 'H3')",0.8
"(Timestamp('2019-01-01 19:30:00+0000', tz='UTC'), 'H1')",0.8
"(Timestamp('2019-01-01 19:30:00+0000', tz='UTC'), 'H3')",0.8
"(Timestamp('2019-01-01 20:00:00+0000', tz='UTC'), 'H1')",0.8
"(Timestamp('2019-01-01 20:00:00+0000', tz='UTC'), 'H3')",0.8
"(Timestamp('2019-01-01 20:30:00+0000', tz='UTC'), 'H1')",0.8
"(Timestamp('2019-01-01 20:30:00+0000', tz='UTC'), 'H3')",0.8
"(Timestamp('2019-01-01 21:00:00+0000', tz='UTC'), 'H1')",0.8
"(Timestamp('2019-01-01 21:00:00+0000', tz='UTC'), 'H3')",0.8
"(Timestamp('2019-01-01 21:30:00+0000', tz='UTC'), 'H1')",0.8
"(Timestamp('2019-01-01 21:30:00+0000', tz='UTC'), 'H3')",0.8
"(Timestamp('2019-01-01 22:00:00+0000', tz='UTC'), 'H1')",0.8
"(Timestamp('2019-01-01 22:00:00+0000', tz='UTC'), 'H3')",1.08571428571429
"(Timestamp('2019-01-01 22:30:00+0000', tz='UTC'), 'H1')",1.08571428571429
"(Timestamp('2019-01-01 22:30:00+0000', tz='UTC'), 'H3')",1.08571428571429
"(Timestamp('2019-01-01 23:00:00+0000', tz='UTC'), 'H1')",1.37142857142857
"(Timestamp('2019-01-01 23:00:00+0000', tz='UTC'), 'H3')",1.08571428571429
"(Timestamp('2019-01-01 23:30:00+0000', tz='UTC'), 'H1')",1.65714285714286
"(Timestamp('2019-01-01 23:30:00+0000', tz='UTC'), 'H3')",1.08571428571429
